City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,brenham,30.1669,-96.3977,25.51,59,69,4.71,US,1682631837
342,port douglas,-16.4833,145.4667,24.28,74,16,4.59,AU,1682631837
343,batouri,4.4333,14.3667,20.37,92,84,1.53,CM,1682631837
344,kalevala,65.2,31.1667,-0.31,92,35,4.63,RU,1682631838
345,kamaishi,39.2667,141.8833,11.55,55,14,2.94,JP,1682631838
346,alghero,40.5589,8.3181,15.05,94,0,1.03,IT,1682631838
347,iskateley,67.6803,53.1512,-4.62,85,98,3.99,RU,1682631838
348,tofol,5.3248,163.0078,25.92,90,100,6.49,FM,1682631838
349,taro,-8.3862,115.28,22.0,95,99,1.03,ID,1682631838
350,tshabong,-26.05,22.45,23.05,44,40,2.09,BW,1682631838
351,tenango de las flores,20.2058,-97.9881,25.04,61,95,2.35,MX,1682631838
352,bardai,11.65,7.2333,25.73,61,100,8.4,NG,1682631838
353,papao,-17.75,-149.55,29.82,75,79,3.57,PF,1682631838
354,strezhevoy,60.7333,77.5889,4.46,100,100,3.48,RU,1682631839
355,cartagena del chaira,1.3349,-74.8429,26.31,88,62,0.4,CO,1682631839
356,sainte-suzanne,-20.9061,55.6089,22.1,78,0,4.12,RE,1682631839
357,hunchun,42.8675,130.3581,10.22,84,100,1.02,CN,1682631839
358,santiago del torno,-17.9833,-63.3833,25.1,88,48,1.11,BO,1682631839
359,mahajanga,-15.7167,46.3167,26.01,89,40,1.54,MG,1682631840
360,burang,30.25,81.1667,-7.42,95,94,1.05,CN,1682631840
361,moultrie,31.1799,-83.7891,19.9,100,100,3.09,US,1682631840
362,kapa'a,22.0752,-159.319,26.99,66,0,4.63,US,1682631840
